data, predictie_t1_intern, predictie_t1_extern, predictie_t7, predictie_t14, predictie_cumulat_t1, predictie_cumulat_t7, predictie_cumulat_t14
15-03-2020, 26, 6, 261, 3833, 154, 886, 12094
16-03-2020, 21, 0, 0, 0, 160, 0, 0
17-03-2020, 22, 0, 0, 0, 182, 210, 211
